Aagesdatter
Bengtsdotter Hejde
Bengtsdotter Spanier
Bengtsson
Bengtsson Bergfors
Bengtsson Björk
Bengtsson Frost
Bengtsson Hejde
Bengtsson Korp
Bengtsson Lindén
Bengtsson Ljungqvist
Bengtsson Lundgren
Bengtsson Rudolf
Bengtsson Spanier
Bengtsson Wallersteen
Bengtsson Öst
Bengtssson
Bengtström
Benjaminsdotter
Benjaminsson
Bentsen
Bentzen
Bentzien
Bentzon
Benzer
Benzon
Ber (Behr, Bæhr, Lämlein)
Berch
Bercher
Berendt
Berg
Bergdahl
Bergdal
Bergeld
Bergelin
Bergencrona
Bergendahl
Bergendal
Bergendorff
Bergenenhammer
Bergenfeldt
Bergenskjöld
Berger
Bergeschou
Bergfors
Berggreen
Berggren
Bergh
Berghagen
Berghman
Bergius
Bergkvist
Bergland
Berglin
Berglind
Bergling
Berglund
Berglöf
Bergman
Bergmark
Bergner
Bergquist
Bergqvist
Bergson
Bergstedt
Bergsten
Bergstrand
Bergstrom
Bergström
Bergvall
Berlin
Berndtsson
Bernhardsdotter
Bernhardsson
Bernström
Berntsdotter
Berntsson
Berntsson Berg
Beronius
Berregaard
Bertelsdatter
Bertelsdatter (Af Tornberg)
Bertelsdotter
Bertelsen
Bertelsson
Bertilsson
Bertle
Beskow
Beutner
Bianco Boeck
Bie
Bieragger
Bierg
Bierum
Biilmann
Bild
Bilde
Bildt
Bill
Billabong
Billabong (Rasmussen)
Billberg
Billbergh
Bille
Bille-Brahe af Svanholm
Billenberg
Billgren
Billing
Billman
Billström
Billström Nilsdotter
Bilsted
Bing
Birch
Birck
Birgersson
Birkedal
Bisserup
Bisted
Biörnsson
Bjelkström
Bjerg
Bjerger
Bjerring
Bjurström
Bjushed
Björck
Björk
Björkegren
Björkgren
Björklund
Björkman
Björkqvist
Björkström
Björling
Björn
Björnberg
Björner
Björnram
Björnsson
Bjørn
Blad
Bladh
Bladlund
Blanck
Blank
Blaylock
Blegvad
Blicher
Blichfeldt
Blitzén
Blix
Blixt
Bloch
Block
Blom
Blomberg
Blomdahl
Blomgren
Blomkvist
Blomquist
Blomqvist
Blomstedt
Blomsterberg
Blomsterqvist
Blomstrand
Blume
Blåman
Blücher
Boberg
Bock
Bodemayer
Bodin
Bodinsson
Bodén
Bogren
Bohle
Bohlin
Bohman
Bohn
Boijsen
Bokelund
Bokstad
Bolander
Bolin
Bolmeér
Boman
Bonde
Bondesdotter
Bondesson
Bonne
Bonnevie
Bonnevier
Bonnier
Bonskog
Boosdotter
Borberg
Borelius
Borelli
Borg
Borgelin
Borggren
Borgh
Borgkvist
Borglin
Borgman
Borgqvist
Borgström
Bornemann
Borreschmidt
Borthig
Bosdotter
Boström
Both
Botvidsson
Bovin
Boyesen
Boysen
Brag
Brahe
Brammer
Bramsen
Brand
Brander
Brandling
Brandt
Brangstrup
Branth
Branting
Branting (Brandling)
Brask
Bratt
Brauer
Braun
Braunstein
Bredal
Breegaard
Bregendahl
Brehmer
Bremer
Brieger
Brilioth
Bringentoff
Brink
Brinkman
Brinkmann
Brix
Broberg
Broch
Brock
Brodersen
Brodin
Brodén
Broge
Brogren
Brolin
Brolund
Broman
Broomé
Brorsdotter
Brorson
Brorsson
Broström
Bruce
Bruch
Bruhn
Brumberg
Brun
Brundin
Brunius
Brunsson
Bruun
Bryngelsson
Bryngelsson Bjushed
Bryngelsson Jardesten
Bryngelsson Ryberg
Brysting
Brytz
Brändström
Brännberg
Brännström
Bräutigam
Brömster
Brÿgger
Buch
Buchhave
Buchwald
Bugge
Bull
Bulow
Bunkeflod
Burmaister
Burman
Burmeister
Burss
Burström
Burvall
Busk-Jepsen
Busse
Bylund
Byström
Bäck
Bäcker
Bäcklund
Bäckman
Bäckström
Bängts
Bång
Bæckström
Béen
Börjasson
Börjesson
Böttiger
Bøgeskov
Bøgvad
Bønnelycke
Bøtcher
Bügler
Bützow
Callmer
Calow
Cammermeyer
Campos Valdés
Candelin
Caradja
Carelius
Carlander
Carlberg
Carleman
Carlgren
Carlheim
Carlheim-Gyllenskiöld
Carlsdotter
Carlsen
Carlson
Carlsson
Carlsson Bager
Carlsson Brandstad
Carlsson Cagéll
Carlsson Hallberg
Carlsson Karlzén
Carlsson Listerberg
Carlsson Thorsberg
Carlsson Thulin
Carlsson von Magius
Carlsson Öberg
Carlström
Carlén
Carnegie
Carr
Caspersson
Cassel
Ceder
Cederberg
Cederborg
Cederfelt
Cedergren
Cederholm
Cederlund
Centerwall
Challamell
Chalmers
Charleville
Charpentier
Charr
Chaura Deumacan
Chenoweth
Chirkova
Christell
Christensdatter
Christensdotter
Christensen
Christensen (Montagne)
Christensen Keitt
Christensen Snejstrup
Christensson
Christensson Lundstätt
Christersson
Christiansdatter
Christiansdotter
Christiansen
Christiansson
Christoffersdatter
Christoffersdotter
Christoffersen
Christoffersson
Christophersson
Chytræus
Claesson
Clase
Clason Lund
Classon
Classén
Claudelin
Clausen
Clausson
Clemedsson
Clemens
Clemensdatter
Clemensson
Clementsdotter
Cleve
Collberg
Colliander
Collin
Colonna de Leca
Condé
Cordes
Cornelius
Corneliusdotter
Cornerus
Cortsen
Covot
Crafoord
Cramer
Crawford
Cremon
Cristensen
Crona
Cronberg
Crone
Cronholm
Cronlund
Cronquist
Cronqvist
Cronstrand
Cruickshank
Cruys
Dahl
Dahlbeck
Dahlberg
Dahlbom
Dahlbäck
Dahlgren
Dahlin
Dahlkvist
Dahlman
Dahlqvist
Dahlström
Dahlén
Dahnsson
Dahqvist
Dajrtendich
Dalberg
Dalgren
Dalin
Dalman
Dalén
Dam
Damberg
Damm
Damm Jensen
Damm-Pedersen
Danelius
Danielsdotter
Danielsen
Danielsson
Danielsson Hartelius
Dankwardt-Lilieström
Darell
Darre
Daun
Davidson
Davidsson
De
de Armas Ramírez
de Bang
de Bruce
de Ferry
de Fine
de Fine Licht
de Fine Olivarius
de Hemmer
de la Cour
de Neergaard
De Wahl
Degerman
Degermark
Deichmann
Deland
Demidoff
Demuth
Dessau
Dickson
Diehl
Dietrich
Dinesdatter
Dinesen
Dobson
Dochedahl
Dochedahl-Petersen
Dockendorf
Donner
Dormé
Dorn
Dornonville de la Cour
Doslic
Drechsel
Dressel
Dreyer
Drougge
Dræger
du Bois
du Plesis De Richelieu
Duncker
Dunkels
Dunker
Dunér
Duus
Duval
Duvander
Dyberg
Dyker
Dyrbye
Díaz
Døssing
Dürkopp
Dürr
Ebbasdotter
Ebbesen
Ebbeson
Ebbesson
Ebling
Eckerberg
Edberg
Edelberg
Edelman
Edgren
Edholm
Edin
Edling
Edlund
Edman
Edström
Edvardsdotter
Edvardsson
Edvinsson
Edwardsson
Edén
Eek
Eftevaag
Egeberg
Egerbladh
Eggeling
Egnell
Ehlers
Ehn
Ehrning
Einarsson
Einhorn
Ek
Ekberg
Ekblad
Ekbladh
Ekblom
Ekbom
Ekborg
Ekdahl
Ekdal
Ekeberg
Ekedahl
Ekelund
Ekelöf
Ekeman
Ekenberg
Ekenman
Ekeroth
Ekholm
Eklund
Eklöf
Eklöv
Ekman
Ekstedt
Ekstrand
Ekström
Ekvall
Ekwall
Elam
Elb
Eldh
Elfström
Elfving
Elg
Eliadotter
Eliasdotter
Eliasson
Eliasson Lindell
Elke
Ellberg
Ellefsen
Ellertsson
Elling
Ellington
Elliot
Elmander
Elmquist
Elmén
Elofsdotter
Elofsson
Elvén
Eman
Emanuelsdotter
Emanuelsson
Emanuelsson Ekblad
Emborg
Emilsson
Enander
Enberg
Eneberg
Eneström
Enevaldsson
Eng
Engberg
Engblom
Engdahl
Engeström
Engler
Englund
Engman
Engqvist
Engstedt
Engstrand
Engström
Engvall
Enkvist
Enqvist
Enström
Erdman
Erdmann
Erdtman
Erhardi
Erichsen
Erichson
Erichsson Kihl
Ericksson
Ericsdotter
Ericson
Ericsson
Eriksdatter
Eriksdotter
Eriksen
Erikson
Eriksson
Eriksson Energren
Eriksson Hedquist
Eriksson Hultberg
Eriksson Krycker
Eriksson Åman
Erlandsdotter
Erlandsson
Erlandsson (Erland)
Erlström
Ernstdotter
Ernvall
Ersdotter
Ersson
Ersson Lindström
Ertiksson
Esberg
Esbjörnsdotter
Esbjörnsson
Eskelsson
Eskildsdotter
Eskilsdotter
Eskilsson
Esseen
Essén
Estensen
Estoesta
Eurelius
Eurenius
Eurén
Evald
Evander
Everlöf
Evertsson
Eyermann
Fabricius
Fader
Faederholdt
Fager
Fagerberg
Fagerholm
Fagerlin
Fagerlund
Fagerström
Fahlcrantz
Fahlgren
Fahlman
Fahlstedt
Fahlström
Fahlén
Faith
Falck
Falk
Falkenberg
Falkvall
Fanø
Fast
Fastberg
Faurschou
Fehr
Fehrman
Feilberg
Feiniger
Feininger
Feldt
Fensmark
Ferm
Ferngren
Fernholm
Fernström
Ferrer
Ferrer Weinschenck
Ferslev
Fibiger
Fick
Figge
Filipson
Filipsson
Findelius
Fischer
Fjällström
Flaméhn
Fledelius
Fleihan
Flensburg
Flink
Flintzberg
Flodin
Flodman
Florinsky
Florman
Flygare
Flögt
Fock
Fogelberg
Fogh
Fohlin
Folkesson
Fontell
Fors
Forsberg
Forselius
Forsell
Forsgren
Forslund
Forsman
Forsmark
Forss
Forssell
Forssman
Forssmed
Forsström
Forssén
Franck
Francke
Frandsdatter
Frandsen
Frank
Franke
Fransson
Fransén
Frantzdatter
Franzén
Fredenberg
Frederiksen
Fredholm
Fredin
Fredlund
Fredriksdotter
Fredriksson
Freij
Frej
Frese
Friberg
Friberg-Ekberg
Fribert
Frick
Frid
Fridell
Fridh
Fridlund
Fridolin
Fridén
Fried
Friese
Friis
Friman
Frimodt
Frisell
Frisendahl
Frisk
Frisk "Frisch"
Fristedt
Fritiof
Fritz
From
Frosetter
Frost
Fröberg
Fröjd
Frönell
Frøchen
Fugl
Fuglede
Fuller
Funch
Funck
Funkquist
Funkqvist
Furtenbach
Fyhr
Fynboe
Fält
Fältström
Füchslin
Fürstenberg
Gabrielsdotter
Gabrielsson
Gad
Gadamer
Gadd
Gade
Gadelius
Gahn
Galle
Galschiøt
Gammeltoft
Gamél
Garbo
Gardell
Garland Elam
Garmann
Gasslander
Gathenhielm
Gatugård
Gedda
Gedeborg
Gehrt
Geijer
Gelin
Genberg
Genefke
Genschow
Georgsdotter
Gerdin
Gerdtsson
Gergi
Gergi Lundstedt
Gerhardsson
Gerland
Germansen
Germundsson
Gernandt
Gibson
Gidlund
Giedde
Gielff
Gierow
Giertz
Giessing
Gilde
Gillberg
Gille
Gislander
Gjedde
Gjertsen
Gjuditz
Gjörwell
Glad
Glahn
Glans
Glerup
Glud
Gnosspelius
Goelitz (Koch)
Gommesen
González Más
González Pena
Gorra
Gorra Weinschenck
Gottlander
Gradin
Graf
Graffman
Grafström
Grahn
Gran
Granat
Granath
Granberg
Grandien
Granholm
Grankvist
Granlund
Granqvist
Granstedt
Granström
Green
Gren
Greve
Grimberg
Grip
Groth
Grubb
Grubbe
Grundeis
Grundström
Grut
Grähs
Grönberg
Grönkvist
Grönlund
Grönquist
Grönqvist
Grönroos
Grönvall
Grönwall
Grønbech
Grønbæk
Grønlund
Grønning
Grønvaldt
Grønvold
Grünewald
Gudfastersen
Gudmonsdotter
Gudmundsdotter
Gudmundsson
Gudmunsson
Guillou
Guldberg
Guldbrandsen
Gullberg
Gullqvist
Gullstrand
Gulstad
Gultzau
Gumme Pers
Gummesen
Gummesson
Gummesson Lindkvist
Gumpert
Gunarsdotter
Gunnarsdotter
Gunnarsson
Gunne
Gunnér
Guntell
Guskasson
Gussarsson
Gustafsdotter
Gustafsdotter Lindblom
Gustafsdotter Möller
Gustafsdotter Spanier
Gustafsson
Gustafsson Edling
Gustafsson Fernström
Gustafsson Spanier
Gustafsson Ulfsax
Gustavsdotter
Gustavsson
Gustavsson Tillrooth
Gyldencrantz
Gylding
Gyllenhammar
Gyllén
Gärdehall
Göransdotter
Göransson
Görgensen
Göte
Götz
Günter
Günther
Haag
Haagen
Haastrup
Haddad
Haeffner
Haeffner (Höffner Heffner)
Haeffner-Flodman
Hafström
Hagberg
Hagblom
Hagefeldt
Hagelin
Hagemann
Hagen
Haggärde
Haglund
Hagman
Hagström
Hagéus
Hahn
Hahr
Halbert
Haleby
Hall
Halland
Hallberg
Halldin
Halldén
Halleby
Hallenborg
Haller
Hallgren
Hallgrímsdóttir
Hallin
Halling
Hallman
Hallonsten
Hallqvist
Hallström
Hallén
Hals
Halvarsson
Halved
Halvorsen
Halvsøe
Hamberg
Hamilton
Hamlett
Hamlin
Hammar
Hammarberg
Hammarbäck
Hammargren
Hammarlund
Hammarsten
Hammarstrand
Hammarström
Hammer
Hamrin
Hancke
Hansdotter
Hansen
Hansen (af Krog)
Hansen Borntoft
Hansen Riber
Hansesdotter
Hanson
Hansson
Hansson Dalberg
Hansson Engström
Hansson Eriksson
Hansson Lindberg
Hansson Lundberg
Hansson Lundstedt
Hansson Löf
Hansson Sjölin
Hansson Spanier
Hansson-Dahl
Haraldsdotter
Haraldsson
Harboe
Harder
Harrysson
Hart
Hartelius
Hartwig
Hartwigsson
Hartzberg
Hasfeldt
Haslund
Hasselberg
Hasselblad
Hasselquist
Hasselqvist
Hasselrot
Hastrup
Hatting
Hauch
Hecht
Heckscher
Hecksher
Hed
Hedberg
Hedberg "Leander"
Hedblom
Hedeberg
Hedeby
Hedeman
Hedenskog
Hedenstierna
Hedin
Hedkvist
Hedling
Hedlund
Hedman
Hedner
Hedquist
Hedqvist
Hedström
Hedvall
Hedvalls
Hedvist
Hedén
Heering
Heiberg
Heiberg Ipsen
Heidenberg
Heikel
Heitmann
Hejde
Hejlesen
Helander
Helenius
Helgesson
Helin
Heljeberg
Heljesdotter
Heljesson
Hellberg
Helleberg
Hellgren
Hellman
Hellner
Hellquist
Hellqvist
Hellstadius
Hellsten
Hellstrand
Hellström
Hellén
Helmer
Helmersson
Hemberg
Hemmingsson
Hempel
Henckel
Hendriksson
Henning
Henningsen
Henningsson
Henrichsen
Henrichsson
Henricsdotter
Henriksdotter
Henriksen
Henriksson
Henriksson Dalberg
Henriksson Hallberg
Henriksson Hyllén
Henriques
Henrysson
Henschen
Herazeck
Herder
Herforth
Herlitz
Herlman
Hermansdotter
Hermansen
Hermansson
Hermodsson
Hern
Herrlin
Herrman
Herskind
Herslow
Hersvall
Hertz
Hertzberg
Hertzman
Herztler
Hessellund
Hesselman
Hetting
Heuch
Heurlin
Hieronimusdatter
Hieronimussen
Higgens
Hildebrand
Hilding
Hillberg
Hillborg
Hillman
Hilmersson
Hindrichsdotter
Hindrichsson
Hindricsdotter
Hingtsasdotter
Hinrichsen
Hinsasdotter
Hinsasson
Hinsesson
Hirdman
Hirsch
Hjalmarsson
Hjelm
Hjelmdrop
Hjerpe
Hjort
Hjorth
Hjorthagen
Hjortsberg
Hjuler
Hjulström
Hjörne
Hober
Hodell
Hoff
Hoff Hansen
Hoffensberg
Hoffman
Hoffmann
Hofsteter
Holbech
Holbek
Holbøll
Holgersdotter
Holgersen (Olivarius)
Holgersson
Holland
Holm
Holmberg
Holmblad
Holmer
Holmgren
Holmkvist
Holmlund
Holmner
Holmquist
Holmqvist
Holmstedt
Holmström
Holmén
Holmér
Holst
Holst Kjeldsen
Holtz
Holtzbro
Hoppe
Hopper
Horn
Horneman
Hornemann
Hortman
Hostrup Schultz
Hougaard
Hoversdatter
How
Howitz
Hugosson
Huhne
Hult
Hultberg
Hultgren
Hultin
Hultkrantz
Hultman
Hultqvist
Hultén
Hurtig
Huss
Hutfeld
Huth
Hvalsøe
Hvid
Hviid
Hvitfeldt
Hwasser
Hydfeldt
Hylander
Hyllested
Häckner
Häger
Hägerman
Hägg
Hägglund
Häggström
Häll
Hällberg
Häller
Hällgren
Hällström
Häsler
Hågensdotter
Håkansdotter
Håkansson
Hård
Hård af Segerstad
Héhn
Högberg
Höglund
Högman
Högrelius
Högstedt
Högstrand
Högström
Hörberg
Hörjesson
Hörlin
Hörngren
Høeg
Høeg-Guldberg
Høfding
Høgh
Høier
Høst
Høvring
Høyer
Høygaard-Nielsen
Hülphers
Hüttmann
I Kroen
Ifvarsson
Ifversson
Ingdahl
Ingelman-Sundberg
Ingelsdotter
Ingelson
Ingelsson
Ingelsten
Ingemansson
Ingemarsdotter
Ingemarsson
Ingerslev
Ingesdotter
Ingesson
Ingeström
Ingman
Ingram
Ingrosso
Ingvarsdotter
Ingvarsson
Ingvartsen
Ipsdatter
Ipsen
Irestam
Irmlev
Isaksdotter
Isaksson
Isberg
Isenberg
Isibarth
Israel
Israelsson
Ivarsdotter
Ivarsson
Iversen
Jacksson
Jacobi
Jacobsdatter
Jacobsdotter
Jacobsen
Jacobsson
Jahn
Jahnsson
Jakobsdotter
Jakobsson
Jakobsson (Ahlström)
Jannesson
Jansdotter
Jansdotter Öman
Jansen
Jansson
Jansson Eriksson
Jansson Haeffner
Jarl
Jarle
Jarnestad
Jelinek
Jensdatter
Jensdatter (af Hulbæk)
Jensdatter (af Krog)
Jensen
Jensen Lang
Jensen Stühlo
Jensen Vestergaard
Jensenius
Jensön
Jeppasdotter
Jeppassson
Jeppesdotter
Jeppesen
Jeppsdotter
Jeppsson
Jeppsson Forsberg
Jepsdotter
Jepsson
Jernberg
Jersild
Jespersen
Jessen
Jochumsen
Jockumsen
Joelsson
Joensdotter
Joensson
Johannesdotter
Johannesson
Johannesson Nordell
Johannesson Winberg
Johannisdotter
Johannisson
Johansdotter
Johansdotter Palm
Johansdotter Sundell
Johansen
Johansson
Johansson Bergeld
Johansson Bergenfeldt
Johansson Burman
Johansson Einald
Johansson Ekström
Johansson Frönell
Johansson Granberg
Johansson Hagberg
Johansson Hedquist
Johansson Holmgren
Johansson Jarlestam
Johansson Lindberg
Johansson Marklund
Johansson Persson
Johansson Sjöberg
Johansson Sundqvist
Johansson Åhl
Johansson Öberg
Johansson Öst
Johnsdotter
Johnson
Johnsson
Jolin
Jonasdotter
Jonasdotter Nordlund
Jonasson
Jonasson Norlund
Jonasson Sandstedt
Jonasson Skoglund
Jonelind
Jonsas
Jonsdotter
Jonsen
Jonson
Jonsson
Jonsson Gärefors
Jonsson Lindal
Jonsson Nordlund
Jonsson Söderblom
Jordán Suri
Josefsson
Joseph
Josjö
Juel
Juhl
Juhlin
Julin
Juncker
Jung
Jungbeck
Jungstedt
Juringius
Just
Just-Nielsen
Justesen
Juul
Jäderholm
Jäderström
Jæger
Jöns
Jönsdotter
Jönsdotter Ekström
Jönsdotter Hagblom
Jönsson
Jönsson Bjelland
Jönsson Bjerborn
Jönsson Ekström
Jönsson Flenner
Jönsson Grevstad
Jönsson Holmqvist
Jönsson Hultgren
Jönsson Kristoffersson
Jönsson Murberg
Jönsson Möllergren
Jönsson Nilsson
Jönsson Nåvall
Jönsson Rosander
Jönsson Rosdahl
Jönsson Rosendahl
Jönsson Rydinger
Jönsson Stenberg
Jönsson Stjernfeldt
Jönsson Svan
Jönsson-Lörd
Jörans
Jöransdotter
Jöransson
Jörgensen
Jörgensen Wain
Jörgonson
Jørgensdatter
Jørgensen
Jørgensen-Birch
Jürgens
Kaalund
Kaas
Kaas af Mur
Kabell
Kafle
Kahn
Kall
Kalldin
Kallenberg
Kallin
Kallmer
Kallur
Kames
Kamf
Kamp
Kamph
Kampmann
Kapferer
Karadja
Karadja pascha
Karlbeck
Karlberg
Karlbäck
Karlfeldt
Karlgren
Karlsdotter
Karlsdotter (Gustafsdotter)
Karlsson
Karlsson Listerberg
Karlsson Nilsson
Karlsson Rabe
Karlsten
Karlström
Karlén
Karpe
Karström
Kasparsdotter
Kastensdotter
Kastnyr
Keil
Keiller
Kelfve
Kellgren
Kellmodin
Kempe
Kenne
Kennedy
Kieldsdatter
Kieldsen
Kieldsson Lilja
Kierbye
Kiersgaard
Kierulf
Kihlberg
Kihlman
Kihlmark
Kihlström
Kilman
Kinberg
Kinch
Kipp
Kirkeby
Kirketerp
Kirschner
Kisbye
Kisch
Kiørberg
Kjeldahl
Kjelder
Kjeldsdatter
Kjeldsen
Kjeldsen Weinschenck
Kjell
Kjellberg
Kjellerup
Kjellgren
Kjellin
Kjellman
Kjellsson
Kjellström
Kjellén
Kjerstensson
Kjerulf
Kjerulff
Kjær
Kjærgaard
Kjærgaard Petersen
Kjærulf
Kjølbye
Kjøller
Klaesson
Klang
Klang Perrsdotter
Klang Persdotter
Klang Persson
Klarin
Klasson
Klassén
Klassén Sundström
Klaug
Klausch
Kleerup
Klefbeck
Klefelt
Klein
Kleinsorg
Klemedsson
Klensorg
Klerebladh
Klette
Klim
Kling
Klingberg
Klinge
Klingenberg
Klint
Klintberg
Klinterot
Klog
Klohs
Klohs Rambech
Klüft
Knaust
Knopf
Knudsdatter
Knudtzen
Knudtzon
Knutsdotter
Knutson
Knutsson
Kobb
Koch
Kock
Koefoed
Kofod
Kofoed
Kohrtz
Kojima
Koll
Kollerup
Kolòdkin
Komstedt
Konradsson
Kopøt
Korhonen
Korneliusdotter
Korneliusson
Krabbe
Kraft
Krafve
Kragballe
Kragh
Kramer
Krantz
Krapf
Krath
Krebs
Krehmer
Krieger
Krikström
Kristensdotter
Kristensen
Kristensson
Kristiansdotter
Kristiansdotter Wikman
Kristiansen
Kristiansson
Kristiansson Carlsson
Kristoffersdotter
Kristoffersen
Kristoffersson
Kristoffersson Dahlqvist
Kristoffersson Rosberg
Kristoffersson Syrén
Kroch
Krog
Krog (af Hulbæk)
Krog-Meyer
Krogh
Krok
Kron
Kronberg
Kronkvist
Kronquist
Kronqvist
Kronvall
Kronwall
Krook
Kroon
Kruse
Krøyer
Krüger
Kullberg
Kulldorff
Kulle
Kullgren
Kumlien
Kumlin
Kuntze
Kuylenstierna
Kuylenstjerna
Kvarnström
Kvick
Kvist
Kyle
Kynde
Kyndel
Käck
Kähr
Käll
Källberg
Källgren
Källman
Källström
Källén
Kämpe
Känne
Kåge
Kåhre
Köhl
Köhler
Kölichen
Köller
König
Købke
Kønemann
Küttner
Kÿkler Kjökler
la Cour
La Fleur
Lacey
Lager
Lagerberg
Lagerbielke
Lagerblad
Lagercrantz
Lagergren
Lagerlöf
Lagerqvist
Lagerström
Lagerträd
Lageson (Lafvason)
Lagesson
Laggare
Lagus
Landberg
Landby
Landgren
Landin
Landström
Landén
Langballe
Lange
Langergaard
Langner
Langsted
Lanng
Lans
Lantz
Lanz
Larpent
Lars
Larsdatter
Larsdotter
Larsdotter DISBYT
Larsdotter Fält
Larsdotter Lundstedt
Larsen
Larsson
Larsson Blom
Larsson Bonde
Larsson Borgqvist
Larsson Callmer
Larsson Fält
Larsson Holm
Larsson Holst
Larsson Levin
Larsson Lundstedt
Larsson Nordlund
Larsson Nyström
Larsson Rosén
Larsson Sjögren
Larsson Strand
Larsson Ström
Larsson Willander
Larsson Åvall
Lassedotter
Lassen
Lassesdotter
Lassesson
Lasson
Laub
Lauersen
Laurberg
Laurell
Laurin
Lauritsdatter
Lauritsen
Lauritzen
Laursdatter
Laursen
Laursen Kuppert
Laustsen
Lavesdotter
Lavesson
Law
Leander
Leandersson
Ledin
Lehman
Leijon
Leijonhufvud
Leijonmarck
Leissner
Lejon
Lem
Lemoine
Lennartsson
Lennqvist
Lennstrand
Lentz
Lentz Rée
Lerche
Lesler
Leth
Lett
Leufvenmark
Levan
Levin
Lewan
León González
León Weinschenck
Liberg
Licht
Lidberg
Lidell
Lidfeldt
Lidman
Lidström
Lidvall
Lidén
Liebe
Liebert
Liebmann
Liedholm
Lif
Lihme
Lilienkampff
Lilja
Liljeblad
Liljedahl
Liljegren
Liljekvist
Liljeqvist
Lillelund
Lillienschiold
Lilliesköld
Limskilde
Lind
Lindahl
Lindal
Lindau
Lindbeck
Lindberg
Lindberg (Persdotter)
Lindberg Persson
Lindblad
Lindblom
Lindbom
Lindborg
Lindbäck
Linde
Lindeberg
Lindegren
Lindegård
Lindell
Lindelof Olsen
Lindenhäll
Linder
Linderoth
Linderström
Lindfors
Lindgreen
Lindgren
Lindgren (Nilsson)
Lindgård
Lindh
Lindhagen
Lindhardt
Lindhe
Lindholm
Lindhé
Lindkvist
Lindman
Lindmark
Lindquist
Lindqvist
Lindros
Lindroth
Lindskog
Lindstedt
Lindstrand
Lindström
Lindström Rosendal
Lindstén
Lindvall
Lindwall
Lindzén
Lindén
Ling
Linnet
Lisborg
Lithovia
Litz
Ljung
Ljungberg
Ljungdahl
Ljunggren
Ljungh
Ljungkvist
Ljungman
Ljungquist
Ljungqvist
Ljungstedt
Ljungström
Loberg
Lodin
Loftbacken
Loinsworth
Loir
Lord
